"","Pokedex_Number","Classfication","Generation","Region","Is_Legendary","Type_1","Type_2","Ability_1","Ability_2","Ability_3","Ability_4","Ability_5","Ability_6","Against_Bug","Against_Dark","Against_Dragon","Against_Electric","Against_Fairy","Against_Fight","Against_Fire","Against_Flying","Against_Ghost","Against_Grass","Against_Ground","Against_Ice","Against_Normal","Against_Poison","Against_Psychic","Against_Rock","Against_Steel","Against_Water","Hp","Height_m","Weight_Kg","Attack","Defense","Sp_Attack","Sp_Defense","Speed","Base_Egg_Steps","Experience_Growth","Base_Happiness","Base_Total","Capture_Rate"
"Sunflora",192,"Sun Pokémon","II","Johto",0,"Grass","None","Chlorophyll"," Solar Power"," Early Bird",NA,NA,NA,2,1,1,0.5,1,1,2,2,1,0.5,0.5,2,1,2,1,1,1,0.5,75,0.8,8.5,75,55,105,85,30,5120,1059860,70,425,120
"Yanma",193,"Clear Wing Pokémon","II","Johto",0,"Bug","Flying","Speed Boost"," Compoundeyes"," Frisk",NA,NA,NA,0.5,1,1,2,1,0.25,2,2,1,0.25,0,2,1,1,1,4,1,1,65,1.2,38,65,45,75,45,95,5120,1000000,70,390,75
"Wooper",194,"Water Fish Pokémon","II","Johto",0,"Water","Ground","Damp"," Water Absorb"," Unaware",NA,NA,NA,1,1,1,0,1,1,0.5,1,1,4,1,1,1,0.5,1,0.5,0.5,1,55,0.4,8.5,45,45,25,25,15,5120,1000000,70,210,255
"Quagsire",195,"Water Fish Pokémon","II","Johto",0,"Water","Ground","Damp"," Water Absorb"," Unaware",NA,NA,NA,1,1,1,0,1,1,0.5,1,1,4,1,1,1,0.5,1,0.5,0.5,1,95,1.4,75,85,85,65,65,35,5120,1000000,70,430,90
"Espeon",196,"Sun Pokémon","II","Johto",0,"Psychic","None","Synchronize"," Magic Bounce",NA,NA,NA,NA,2,2,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,1,1,65,0.9,26.5,65,60,130,95,110,8960,1000000,70,525,45
"Umbreon",197,"Moonlight Pokémon","II","Johto",0,"Dark","None","Synchronize"," Inner Focus",NA,NA,NA,NA,2,0.5,1,1,2,2,1,1,0.5,1,1,1,1,1,0,1,1,1,95,1,27,65,110,60,130,65,8960,1000000,35,525,45
"Murkrow",198,"Darkness Pokémon","II","Johto",0,"Dark","Flying","Insomnia"," Super Luck"," Prankster",NA,NA,NA,1,0.5,1,2,2,1,1,1,0.5,0.5,0,2,1,1,0,2,1,1,60,0.5,2.1,85,42,85,42,91,5120,1059860,35,405,30
"Slowking",199,"Royal Pokémon","II","Johto",0,"Water","Psychic","Oblivious"," Own Tempo"," Regenerator",NA,NA,NA,2,2,1,2,1,0.5,0.5,1,2,2,1,0.5,1,1,0.5,1,0.5,0.5,95,2,79.5,75,80,100,110,30,5120,1000000,70,490,70
"Misdreavus",200,"Screech Pokémon","II","Johto",0,"Ghost","None","Levitate",NA,NA,NA,NA,NA,0.5,2,1,1,1,0,1,1,2,1,1,1,0,0.5,1,1,1,1,60,0.7,1,60,60,85,85,85,6400,800000,35,435,45
"Unown",201,"Symbol Pokémon","II","Johto",0,"Psychic","None","Levitate",NA,NA,NA,NA,NA,2,2,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,1,1,48,0.5,5,72,48,72,48,48,10240,1000000,70,336,225
"Wobbuffet",202,"Patient Pokémon","II","Johto",0,"Psychic","None","Shadow Tag"," Telepathy",NA,NA,NA,NA,2,2,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,1,1,190,1.3,28.5,33,58,33,58,33,5120,1000000,70,405,45
"Girafarig",203,"Long Neck Pokémon","II","Johto",0,"Normal","Psychic","Inner Focus"," Early Bird"," Sap Sipper",NA,NA,NA,2,2,1,1,1,1,1,1,0,1,1,1,1,1,0.5,1,1,1,70,1.5,41.5,80,65,90,65,85,5120,1000000,70,455,60
"Pineco",204,"Bagworm Pokémon","II","Johto",0,"Bug","None","Sturdy"," Overcoat",NA,NA,NA,NA,1,1,1,1,1,0.5,2,2,1,0.5,0.5,1,1,1,1,2,1,1,50,0.6,7.2,65,90,35,35,15,5120,1000000,70,290,190
"Forretress",205,"Bagworm Pokémon","II","Johto",0,"Bug","Steel","Sturdy"," Overcoat",NA,NA,NA,NA,0.5,1,0.5,1,0.5,1,4,1,1,0.25,1,0.5,0.5,0,0.5,1,0.5,1,75,1.2,125.8,90,140,60,60,40,5120,1000000,70,465,75
"Dunsparce",206,"Land Snake Pokémon","II","Johto",0,"Normal","None","Serene Grace"," Run Away"," Rattled",NA,NA,NA,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,100,1.5,14,70,70,65,65,45,5120,1000000,70,415,190
"Gligar",207,"Flyscorpion Pokémon","II","Johto",0,"Ground","Flying","Hyper Cutter"," Sand Veil"," Immunity",NA,NA,NA,0.5,1,1,0,1,0.5,1,1,1,1,0,4,1,0.5,1,1,1,2,65,1.1,64.8,75,105,35,65,85,5120,1059860,70,430,60
"Steelix",208,"Iron Snake Pokémon","II","Johto",0,"Steel","Ground","Rock Head"," Sturdy"," Sheer Force",NA,NA,NA,0.5,1,0.5,0,0.5,2,2,0.5,1,1,2,1,0.5,0,0.5,0.25,0.5,2,75,9.2,400,125,230,55,95,30,6400,1000000,70,610,25
"Snubbull",209,"Fairy Pokémon","II","Johto",0,"Fairy","None","Intimidate"," Run Away"," Rattled",NA,NA,NA,0.5,0.5,0,1,1,0.5,1,1,1,1,1,1,1,2,1,1,2,1,60,0.6,7.8,80,50,40,40,30,5120,800000,70,300,190
"Granbull",210,"Fairy Pokémon","II","Johto",0,"Fairy","None","Intimidate"," Quick Feet"," Rattled",NA,NA,NA,0.5,0.5,0,1,1,0.5,1,1,1,1,1,1,1,2,1,1,2,1,90,1.4,48.7,120,75,60,60,45,5120,800000,70,450,75
"Qwilfish",211,"Balloon Pokémon","II","Johto",0,"Water","Poison","Poison Point"," Swift Swim"," Intimidate",NA,NA,NA,0.5,1,1,2,0.5,0.5,0.5,1,1,1,2,0.5,1,0.5,2,1,0.5,0.5,65,0.5,3.9,95,85,55,55,85,5120,1000000,70,440,45
"Scizor",212,"Pincer Pokémon","II","Johto",0,"Bug","Steel","Swarm"," Technician"," Light Metal",NA,NA,NA,0.5,1,0.5,1,0.5,1,4,1,1,0.25,1,0.5,0.5,0,0.5,1,0.5,1,70,1.8,118,150,140,65,100,75,6400,1000000,70,600,25
"Shuckle",213,"Mold Pokémon","II","Johto",0,"Bug","Rock","Sturdy"," Gluttony"," Contrary",NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,0.5,0.5,1,2,2,2,20,0.6,20.5,10,230,10,230,5,5120,1059860,70,505,190
"Heracross",214,"Singlehorn Pokémon","II","Johto",0,"Bug","Fighting","Swarm"," Guts"," Moxie",NA,NA,NA,0.5,0.5,1,1,2,0.5,2,4,1,0.5,0.5,1,1,1,2,1,1,1,80,1.5,54,185,115,40,105,75,6400,1250000,70,600,45
"Sneasel",215,"Sharp Claw Pokémon","II","Johto",0,"Dark","Ice","Inner Focus"," Keen Eye"," Pickpocket",NA,NA,NA,2,0.5,1,1,2,4,2,1,0.5,1,1,0.5,1,1,0,2,2,1,55,0.9,28,95,55,35,75,115,5120,1059860,35,430,60
"Teddiursa",216,"Little Bear Pokémon","II","Johto",0,"Normal","None","Pickup"," Quick Feet"," Honey Gather",NA,NA,NA,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,60,0.6,8.8,80,50,50,50,40,5120,1000000,70,330,120
"Ursaring",217,"Hibernator Pokémon","II","Johto",0,"Normal","None","Guts"," Quick Feet"," Unnerve",NA,NA,NA,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,90,1.8,125.8,130,75,75,75,55,5120,1000000,70,500,60
"Slugma",218,"Lava Pokémon","II","Johto",0,"Fire","None","Magma Armor"," Flame Body"," Weak Armor",NA,NA,NA,0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,40,0.7,35,40,40,70,40,20,5120,1000000,70,250,190
"Magcargo",219,"Lava Pokémon","II","Johto",0,"Fire","Rock","Magma Armor"," Flame Body"," Weak Armor",NA,NA,NA,0.5,1,1,1,0.5,2,0.25,0.5,1,1,4,0.5,0.5,0.5,1,2,1,4,60,0.8,55,50,120,90,80,30,5120,1000000,70,430,75
"Swinub",220,"Pig Pokémon","II","Johto",0,"Ice","Ground","Oblivious"," Snow Cloak"," Thick Fat",NA,NA,NA,1,1,1,0,1,2,2,1,1,2,1,1,1,0.5,1,1,2,2,50,0.4,6.5,50,40,30,30,50,5120,1250000,70,250,225
"Piloswine",221,"Swine Pokémon","II","Johto",0,"Ice","Ground","Oblivious"," Snow Cloak"," Thick Fat",NA,NA,NA,1,1,1,0,1,2,2,1,1,2,1,1,1,0.5,1,1,2,2,100,1.1,55.8,100,80,60,60,50,5120,1250000,70,450,75
"Corsola",222,"Coral Pokémon","II","Johto",0,"Water","Rock","Hustle"," Natural Cure"," Regenerator",NA,NA,NA,1,1,1,2,1,2,0.25,0.5,1,4,2,0.5,0.5,0.5,1,1,1,1,65,0.6,5,55,95,65,95,35,5120,800000,70,410,60
"Remoraid",223,"Jet Pokémon","II","Johto",0,"Water","None","Hustle"," Sniper"," Moody",NA,NA,NA,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,35,0.6,12,65,35,65,35,65,5120,1000000,70,300,190
"Octillery",224,"Jet Pokémon","II","Johto",0,"Water","None","Suction Cups"," Sniper"," Moody",NA,NA,NA,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,75,0.9,28.5,105,75,105,75,45,5120,1000000,70,480,75
"Delibird",225,"Delivery Pokémon","II","Johto",0,"Ice","Flying","Vital Spirit"," Hustle"," Insomnia",NA,NA,NA,0.5,1,1,2,1,1,2,1,1,0.5,0,1,1,1,1,4,2,1,45,0.9,16,55,45,65,45,75,5120,800000,70,330,45
"Mantine",226,"Kite Pokémon","II","Johto",0,"Water","Flying","Swift Swim"," Water Absorb"," Water Veil",NA,NA,NA,0.5,1,1,4,1,0.5,0.5,1,1,1,0,1,1,1,1,2,0.5,0.5,85,2.1,220,40,70,80,140,70,6400,1250000,70,485,25
"Skarmory",227,"Armor Bird Pokémon","II","Johto",0,"Steel","Flying","Keen Eye"," Sturdy"," Weak Armor",NA,NA,NA,0.25,1,0.5,2,0.5,1,2,0.5,1,0.25,0,1,0.5,0,0.5,1,0.5,1,65,1.7,50.5,80,140,40,70,70,6400,1250000,70,465,25
"Houndour",228,"Dark Pokémon","II","Johto",0,"Dark","Fire","Early Bird"," Flash Fire"," Unnerve",NA,NA,NA,1,0.5,1,1,1,2,0.5,1,0.5,0.5,2,0.5,1,1,0,2,0.5,2,45,0.6,10.8,60,30,80,50,65,5120,1250000,35,330,120
"Houndoom",229,"Dark Pokémon","II","Johto",0,"Dark","Fire","Early Bird"," Flash Fire"," Unnerve",NA,NA,NA,1,0.5,1,1,1,2,0.5,1,0.5,0.5,2,0.5,1,1,0,2,0.5,2,75,1.4,35,90,90,140,90,115,5120,1250000,35,600,45
"Kingdra",230,"Dragon Pokémon","II","Johto",0,"Water","Dragon","Swift Swim"," Sniper"," Damp",NA,NA,NA,1,1,2,1,2,1,0.25,1,1,1,1,1,1,1,1,1,0.5,0.25,75,1.8,152,95,95,95,95,85,5120,1000000,70,540,45
"Phanpy",231,"Long Nose Pokémon","II","Johto",0,"Ground","None","Pickup"," Sand Veil",NA,NA,NA,NA,1,1,1,0,1,1,1,1,1,2,1,2,1,0.5,1,0.5,1,2,90,0.5,33.5,60,60,40,40,40,5120,1000000,70,330,120
"Donphan",232,"Armor Pokémon","II","Johto",0,"Ground","None","Sturdy"," Sand Veil",NA,NA,NA,NA,1,1,1,0,1,1,1,1,1,2,1,2,1,0.5,1,0.5,1,2,90,1.1,120,120,120,60,60,50,5120,1000000,70,500,60
"Porygon2",233,"Virtual Pokémon","II","Johto",0,"Normal","None","Trace"," Download"," Analytic",NA,NA,NA,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,85,0.6,32.5,80,90,105,95,60,5120,1000000,70,515,45
"Stantler",234,"Big Horn Pokémon","II","Johto",0,"Normal","None","Intimidate"," Frisk"," Sap Sipper",NA,NA,NA,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,73,1.4,71.2,95,62,85,65,85,5120,1250000,70,465,45
"Smeargle",235,"Painter Pokémon","II","Johto",0,"Normal","None","Own Tempo"," Technician"," Moody",NA,NA,NA,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,55,1.2,58,20,35,20,45,75,5120,800000,70,250,45
"Tyrogue",236,"Scuffle Pokémon","II","Johto",0,"Fighting","None","Guts"," Steadfast"," Vital Spirit",NA,NA,NA,0.5,0.5,1,1,2,1,1,2,1,1,1,1,1,1,2,0.5,1,1,35,0.7,21,35,35,35,35,35,6400,1000000,70,210,75
"Hitmontop",237,"Handstand Pokémon","II","Johto",0,"Fighting","None","Intimidate"," Technician"," Steadfast",NA,NA,NA,0.5,0.5,1,1,2,1,1,2,1,1,1,1,1,1,2,0.5,1,1,50,1.4,48,95,95,35,110,70,6400,1000000,70,455,45
"Smoochum",238,"Kiss Pokémon","II","Johto",0,"Ice","Psychic","Oblivious"," Forewarn"," Hydration",NA,NA,NA,2,2,1,1,1,1,2,1,2,1,1,0.5,1,1,0.5,2,2,1,45,0.4,6,30,15,85,65,65,6400,1000000,70,305,45
"Elekid",239,"Electric Pokémon","II","Johto",0,"Electric","None","Static"," Vital Spirit",NA,NA,NA,NA,1,1,1,0.5,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,45,0.6,23.5,63,37,65,55,95,6400,1000000,70,360,45
"Magby",240,"Live Coal Pokémon","II","Johto",0,"Fire","None","Flame Body"," Vital Spirit",NA,NA,NA,NA,0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,45,0.7,21.4,75,37,70,55,83,6400,1000000,70,365,45
"Miltank",241,"Milk Cow Pokémon","II","Johto",0,"Normal","None","Thick Fat"," Scrappy"," Sap Sipper",NA,NA,NA,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,95,1.2,75.5,80,105,40,70,100,5120,1250000,70,490,45
"Blissey",242,"Happiness Pokémon","II","Johto",0,"Normal","None","Natural Cure"," Serene Grace"," Healer",NA,NA,NA,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,255,1.5,46.8,10,10,75,135,55,10240,800000,140,540,30
"Raikou",243,"Thunder Pokémon","II","Johto",1,"Electric","None","Pressure"," Inner Focus",NA,NA,NA,NA,1,1,1,0.5,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,90,1.9,178,85,75,115,100,115,20480,1250000,35,580,3
"Entei",244,"Volcano Pokémon","II","Johto",1,"Fire","None","Pressure"," Inner Focus",NA,NA,NA,NA,0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,115,2.1,198,115,85,90,75,100,20480,1250000,35,580,3
"Suicune",245,"Aurora Pokémon","II","Johto",1,"Water","None","Pressure"," Inner Focus",NA,NA,NA,NA,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,100,2,187,75,115,90,115,85,20480,1250000,35,580,3
"Larvitar",246,"Rock Skin Pokémon","II","Johto",0,"Rock","Ground","Guts"," Sand Veil",NA,NA,NA,NA,1,1,1,0,1,2,0.5,0.5,1,4,2,2,0.5,0.25,1,0.5,2,4,50,0.6,72,64,50,45,50,41,10240,1250000,35,300,45
"Pupitar",247,"Hard Shell Pokémon","II","Johto",0,"Rock","Ground","Shed Skin",NA,NA,NA,NA,NA,1,1,1,0,1,2,0.5,0.5,1,4,2,2,0.5,0.25,1,0.5,2,4,70,1.2,152,84,70,65,70,51,10240,1250000,35,410,45
"Tyranitar",248,"Armor Pokémon","II","Johto",0,"Rock","Dark","Sand Stream"," Unnerve",NA,NA,NA,NA,2,0.5,1,1,2,4,0.5,0.5,0.5,2,2,1,0.5,0.5,0,1,2,2,100,2,202,164,150,95,120,71,10240,1250000,35,700,45
"Lugia",249,"Diving Pokémon","II","Johto",1,"Psychic","Flying","Pressure"," Multiscale",NA,NA,NA,NA,1,2,1,2,1,0.25,1,1,2,0.5,0,2,1,1,0.5,2,1,1,106,5.2,216,90,130,90,154,110,30720,1250000,0,680,3
"Ho-Oh",250,"Rainbow Pokémon","II","Johto",1,"Fire","Flying","Pressure"," Regenerator",NA,NA,NA,NA,0.25,1,1,2,0.5,0.5,0.5,1,1,0.25,0,1,1,1,1,4,0.5,2,106,3.8,199,130,90,110,154,90,30720,1250000,0,680,3
"Celebi",251,"Time Travel Pokémon","II","Johto",1,"Psychic","Grass","Natural Cure",NA,NA,NA,NA,NA,4,2,1,0.5,1,0.5,2,2,2,0.5,0.5,2,1,2,0.5,1,1,0.5,100,0.6,5,100,100,100,100,100,30720,1059860,100,600,45
"Treecko",252,"Wood Gecko Pokémon","III","Hoenn",0,"Grass","None","Overgrow"," Unburden",NA,NA,NA,NA,2,1,1,0.5,1,1,2,2,1,0.5,0.5,2,1,2,1,1,1,0.5,40,0.5,5,45,35,65,55,70,5120,1059860,70,310,45
"Grovyle",253,"Wood Gecko Pokémon","III","Hoenn",0,"Grass","None","Overgrow"," Unburden",NA,NA,NA,NA,2,1,1,0.5,1,1,2,2,1,0.5,0.5,2,1,2,1,1,1,0.5,50,0.9,21.6,65,45,85,65,95,5120,1059860,70,405,45
"Sceptile",254,"Forest Pokémon","III","Hoenn",0,"Grass","None","Overgrow"," Unburden",NA,NA,NA,NA,2,1,1,0.5,1,1,2,2,1,0.5,0.5,2,1,2,1,1,1,0.5,70,1.7,52.2,110,75,145,85,145,5120,1059860,70,630,45
"Torchic",255,"Chick Pokémon","III","Hoenn",0,"Fire","None","Blaze"," Speed Boost",NA,NA,NA,NA,0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,45,0.4,2.5,60,40,70,50,45,5120,1059860,70,310,45
"Combusken",256,"Young Fowl Pokémon","III","Hoenn",0,"Fire","Fighting","Blaze"," Speed Boost",NA,NA,NA,NA,0.25,0.5,1,1,1,1,0.5,2,1,0.5,2,0.5,1,1,2,1,0.5,2,60,0.9,19.5,85,60,85,60,55,5120,1059860,70,405,45
"Blaziken",257,"Blaze Pokémon","III","Hoenn",0,"Fire","Fighting","Blaze"," Speed Boost",NA,NA,NA,NA,0.25,0.5,1,1,1,1,0.5,2,1,0.5,2,0.5,1,1,2,1,0.5,2,80,1.9,52,160,80,130,80,100,5120,1059860,70,630,45
"Mudkip",258,"Mud Fish Pokémon","III","Hoenn",0,"Water","None","Torrent"," Damp",NA,NA,NA,NA,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,50,0.4,7.6,70,50,50,50,40,5120,1059860,70,310,45
"Marshtomp",259,"Mud Fish Pokémon","III","Hoenn",0,"Water","Ground","Torrent"," Damp",NA,NA,NA,NA,1,1,1,0,1,1,0.5,1,1,4,1,1,1,0.5,1,0.5,0.5,1,70,0.7,28,85,70,60,70,50,5120,1059860,70,405,45
"Swampert",260,"Mud Fish Pokémon","III","Hoenn",0,"Water","Ground","Torrent"," Damp",NA,NA,NA,NA,1,1,1,0,1,1,0.5,1,1,4,1,1,1,0.5,1,0.5,0.5,1,100,1.5,81.9,150,110,95,110,70,5120,1059860,70,635,45
"Poochyena",261,"Bite Pokémon","III","Hoenn",0,"Dark","None","Run Away"," Quick Feet"," Rattled",NA,NA,NA,2,0.5,1,1,2,2,1,1,0.5,1,1,1,1,1,0,1,1,1,35,0.5,13.6,55,35,30,30,35,3840,1000000,70,220,255
"Mightyena",262,"Bite Pokémon","III","Hoenn",0,"Dark","None","Intimidate"," Quick Feet"," Moxie",NA,NA,NA,2,0.5,1,1,2,2,1,1,0.5,1,1,1,1,1,0,1,1,1,70,1,37,90,70,60,60,70,3840,1000000,70,420,127
"Zigzagoon",263,"Tiny Racoon Pokémon","III","Hoenn",0,"Normal","None","Pickup"," Gluttony"," Quick Feet",NA,NA,NA,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,38,0.4,17.5,30,41,30,41,60,3840,1000000,70,240,255
"Linoone",264,"Rush Pokémon","III","Hoenn",0,"Normal","None","Pickup"," Gluttony"," Quick Feet",NA,NA,NA,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,78,0.5,32.5,70,61,50,61,100,3840,1000000,70,420,90
"Wurmple",265,"Worm Pokémon","III","Hoenn",0,"Bug","None","Shield Dust"," Run Away",NA,NA,NA,NA,1,1,1,1,1,0.5,2,2,1,0.5,0.5,1,1,1,1,2,1,1,45,0.3,3.6,45,35,20,30,20,3840,1000000,70,195,255
"Silcoon",266,"Cocoon Pokémon","III","Hoenn",0,"Bug","None","Shed Skin",NA,NA,NA,NA,NA,1,1,1,1,1,0.5,2,2,1,0.5,0.5,1,1,1,1,2,1,1,50,0.6,10,35,55,25,25,15,3840,1000000,70,205,120
"Beautifly",267,"Butterfly Pokémon","III","Hoenn",0,"Bug","Flying","Swarm"," Rivalry",NA,NA,NA,NA,0.5,1,1,2,1,0.25,2,2,1,0.25,0,2,1,1,1,4,1,1,60,1,28.4,70,50,100,50,65,3840,1000000,70,395,45
"Cascoon",268,"Cocoon Pokémon","III","Hoenn",0,"Bug","None","Shed Skin",NA,NA,NA,NA,NA,1,1,1,1,1,0.5,2,2,1,0.5,0.5,1,1,1,1,2,1,1,50,0.7,11.5,35,55,25,25,15,3840,1000000,70,205,120
"Dustox",269,"Poison Moth Pokémon","III","Hoenn",0,"Bug","Poison","Shield Dust"," Compoundeyes",NA,NA,NA,NA,0.5,1,1,1,0.5,0.25,2,2,1,0.25,1,1,1,0.5,2,2,1,1,60,1.2,31.6,50,70,50,90,65,3840,1000000,70,385,45
"Lotad",270,"Water Weed Pokémon","III","Hoenn",0,"Water","Grass","Swift Swim"," Rain Dish"," Own Tempo",NA,NA,NA,2,1,1,1,1,1,1,2,1,1,0.5,1,1,2,1,1,0.5,0.25,40,0.5,2.6,30,30,40,50,30,3840,1059860,70,220,255
"Lombre",271,"Jolly Pokémon","III","Hoenn",0,"Water","Grass","Swift Swim"," Rain Dish"," Own Tempo",NA,NA,NA,2,1,1,1,1,1,1,2,1,1,0.5,1,1,2,1,1,0.5,0.25,60,1.2,32.5,50,50,60,70,50,3840,1059860,70,340,120
"Ludicolo",272,"Carefree Pokémon","III","Hoenn",0,"Water","Grass","Swift Swim"," Rain Dish"," Own Tempo",NA,NA,NA,2,1,1,1,1,1,1,2,1,1,0.5,1,1,2,1,1,0.5,0.25,80,1.5,55,70,70,90,100,70,3840,1059860,70,480,45
"Seedot",273,"Acorn Pokémon","III","Hoenn",0,"Grass","None","Chlorophyll"," Early Bird"," Pickpocket",NA,NA,NA,2,1,1,0.5,1,1,2,2,1,0.5,0.5,2,1,2,1,1,1,0.5,40,0.5,4,40,50,30,30,30,3840,1059860,70,220,255
"Nuzleaf",274,"Wily Pokémon","III","Hoenn",0,"Grass","Dark","Chlorophyll"," Early Bird"," Pickpocket",NA,NA,NA,4,0.5,1,0.5,2,2,2,2,0.5,0.5,0.5,2,1,2,0,1,1,0.5,70,1,28,70,40,60,40,60,3840,1059860,70,340,120
"Shiftry",275,"Wickid Pokémon","III","Hoenn",0,"Grass","Dark","Chlorophyll"," Early Bird"," Pickpocket",NA,NA,NA,4,0.5,1,0.5,2,2,2,2,0.5,0.5,0.5,2,1,2,0,1,1,0.5,90,1.3,59.6,100,60,90,60,80,3840,1059860,70,480,45
"Taillow",276,"TinySwallow Pokémon","III","Hoenn",0,"Normal","Flying","Guts"," Scrappy",NA,NA,NA,NA,0.5,1,1,2,1,1,1,1,0,0.5,0,2,1,1,1,2,1,1,40,0.3,2.3,55,30,30,30,85,3840,1059860,70,270,200
"Swellow",277,"Swallow Pokémon","III","Hoenn",0,"Normal","Flying","Guts"," Scrappy",NA,NA,NA,NA,0.5,1,1,2,1,1,1,1,0,0.5,0,2,1,1,1,2,1,1,60,0.7,19.8,85,60,75,50,125,3840,1059860,70,455,45
"Wingull",278,"Seagull Pokémon","III","Hoenn",0,"Water","Flying","Keen Eye"," Hydration"," Rain Dish",NA,NA,NA,0.5,1,1,4,1,0.5,0.5,1,1,1,0,1,1,1,1,2,0.5,0.5,40,0.6,9.5,30,30,55,30,85,5120,1000000,70,270,190
"Pelipper",279,"Water Bird Pokémon","III","Hoenn",0,"Water","Flying","Keen Eye"," Drizzle"," Rain Dish",NA,NA,NA,0.5,1,1,4,1,0.5,0.5,1,1,1,0,1,1,1,1,2,0.5,0.5,60,1.2,28,50,100,95,70,65,5120,1000000,70,440,45
"Ralts",280,"Feeling Pokémon","III","Hoenn",0,"Psychic","Fairy","Synchronize"," Trace"," Telepathy",NA,NA,NA,1,1,0,1,1,0.25,1,1,2,1,1,1,1,2,0.5,1,2,1,28,0.4,6.6,25,25,45,35,40,5120,1250000,35,198,235
"Kirlia",281,"Emotion Pokémon","III","Hoenn",0,"Psychic","Fairy","Synchronize"," Trace"," Telepathy",NA,NA,NA,1,1,0,1,1,0.25,1,1,2,1,1,1,1,2,0.5,1,2,1,38,0.8,20.2,35,35,65,55,50,5120,1250000,35,278,120
"Gardevoir",282,"Embrace Pokémon","III","Hoenn",0,"Psychic","Fairy","Synchronize"," Trace"," Telepathy",NA,NA,NA,1,1,0,1,1,0.25,1,1,2,1,1,1,1,2,0.5,1,2,1,68,1.6,48.4,85,65,165,135,100,5120,1250000,35,618,45
"Surskit",283,"Pond Skater Pokémon","III","Hoenn",0,"Bug","Water","Swift Swim"," Rain Dish",NA,NA,NA,NA,1,1,1,2,1,0.5,1,2,1,1,0.5,0.5,1,1,1,2,0.5,0.5,40,0.5,1.7,30,32,50,52,65,3840,1000000,70,269,200
"Masquerain",284,"Eyeball Pokémon","III","Hoenn",0,"Bug","Flying","Intimidate"," Unnerve",NA,NA,NA,NA,0.5,1,1,2,1,0.25,2,2,1,0.25,0,2,1,1,1,4,1,1,70,0.8,3.6,60,62,100,82,80,3840,1000000,70,454,75
"Shroomish",285,"Mushroom Pokémon","III","Hoenn",0,"Grass","None","Effect Spore"," Poison Heal"," Quick Feet",NA,NA,NA,2,1,1,0.5,1,1,2,2,1,0.5,0.5,2,1,2,1,1,1,0.5,60,0.4,4.5,40,60,40,60,35,3840,1640000,70,295,255
"Breloom",286,"Mushroom Pokémon","III","Hoenn",0,"Grass","Fighting","Effect Spore"," Poison Heal"," Technician",NA,NA,NA,1,0.5,1,0.5,2,1,2,4,1,0.5,0.5,2,1,2,2,0.5,1,0.5,60,1.2,39.2,130,80,60,60,70,3840,1640000,70,460,90
"Slakoth",287,"Slacker Pokémon","III","Hoenn",0,"Normal","None","Truant",NA,NA,NA,NA,NA,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,60,0.8,24,60,60,35,35,30,3840,1250000,70,280,255
"Vigoroth",288,"Wild Monkey Pokémon","III","Hoenn",0,"Normal","None","Vital Spirit",NA,NA,NA,NA,NA,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,80,1.4,46.5,80,80,55,55,90,3840,1250000,70,440,120
"Slaking",289,"Lazy Pokémon","III","Hoenn",0,"Normal","None","Truant",NA,NA,NA,NA,NA,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,150,2,130.5,160,100,95,65,100,3840,1250000,70,670,45
